Sony Super Multi BOM,,,,,,,,,,,,
Info,,Part Number,,Digikey Part info,,Alt Info,Qty,Digikey Pricing,,Alt Pricing,,Unit Difference
Index,Human Desc,Digikey,Alt,Description,Link,Link,,Unit Price USD,Total Price,Unit Price USD,Total Price,
1,IDC34 Jack,ED10540-ND,,CONN HEADER R/A 34POS GOLD,Link,,1,$0.93,$0.93,,,
2,Bus Switch IC,1727-3580-ND,,IC BUS SWITCH OCT 20-SOIC,,,4,$0.60,$2.40,,,
3,RCA Jack,CP-1466-ND,,CONN RCA JACK MONO 3.2MM R/A,,,2,$0.73,$1.46,,,
4,BNC Jacks,A97569-ND,,CONN BNC JACK R/A 50 OHM PCB,,,5,$3.31,$16.55,,,
5,10kOhm Resistor,10KQBK-ND,,RES 10K OHM 1/4W 5% AXIAL,,,4,$0.10,$0.40,,,
6,Power Jack,CP-102A-ND,,CONN PWR JACK 2X5.5MM SOLDER,,,1,$0.64,$0.64,,,
7,Power Sw Toggle,679-2466-ND,,SWITCH TOGGLE SPDT 6A 125V,,,1,$4.86,$4.86,,,
8,AV Sw Slide,450-1609-ND,,SWITCH SLIDE SPDT 300MA 125V,,,1,$1.55,$1.55,,,
9,7805 Voltage Regulator,497-1443-5-ND,,IC REG LINEAR 5V 1.5A TO220AB,,,1,$0.50,$0.50,,,
,,,,,,,,Bom Cost,$29.29,,,
